iter	Passed	Remaining
0	153	153073
1	154	77335
2	157	52369
3	159	39736
4	162	32360
5	164	27297
6	167	23758
7	169	20998
8	171	18845
9	172	17110
10	176	15884
11	179	14753
12	180	13741
13	182	12855
14	184	12084
15	185	11434
16	189	10928
17	191	10454
18	193	9988
19	197	9666
20	201	9375
21	203	9064
22	205	8749
23	207	8445
24	209	8157
25	210	7890
26	220	7952
27	222	7723
28	224	7508
29	225	7302
30	227	7110
31	231	7004
32	234	6871
33	236	6709
34	237	6550
35	239	6405
36	244	6357
37	249	6311
38	251	6185
39	252	6061
40	254	5945
41	257	5863
42	258	5763
43	261	5680
44	263	5589
45	265	5496
46	266	5404
47	269	5342
48	273	5310
49	275	5234
50	277	5157
51	278	5079
52	280	5005
53	286	5012
54	288	4955
55	290	4888
56	291	4822
57	293	4759
58	294	4701
59	299	4690
60	301	4642
61	303	4591
62	304	4533
63	306	4477
64	307	4422
65	308	4369
66	312	4346
67	313	4303
68	315	4263
69	317	4215
70	318	4169
71	319	4123
72	321	4081
73	322	4037
74	323	3995
75	326	3974
76	328	3939
77	330	3903
78	331	3865
79	332	3827
80	334	3790
81	335	3757
82	336	3716
83	337	3682
84	340	3664
85	342	3642
86	346	3635
87	348	3611
88	350	3585
89	351	3554
90	354	3544
91	356	3518
92	358	3495
93	359	3468
94	361	3441
95	362	3415
96	364	3394
97	366	3372
98	369	3359
99	371	3342
100	373	3327
101	376	3311
102	377	3290
103	380	3282
104	382	3260
105	384	3239
106	385	3216
107	386	3194
108	388	3173
109	389	3151
110	390	3129
111	392	3108
112	394	3099
113	396	3083
114	398	3066
115	399	3046
116	400	3026
117	402	3006
118	403	2987
119	404	2968
120	406	2950
121	407	2930
122	410	2925
123	411	2909
124	413	2894
125	415	2879
126	416	2860
127	417	2843
128	418	2826
129	419	2810
130	421	2793
131	424	2793
132	426	2779
133	428	2767
134	429	2753
135	430	2737
136	432	2722
137	433	2707
138	434	2693
139	436	2678
140	439	2677
141	440	2664
142	443	2657
143	444	2644
144	446	2632
145	448	2622
146	449	2611
147	452	2603
148	454	2593
149	456	2584
150	457	2571
151	458	2559
152	460	2546
153	461	2534
154	462	2521
155	463	2509
156	466	2502
157	467	2493
158	469	2483
159	471	2473
160	472	2460
161	473	2449
162	474	2438
163	476	2427
164	477	2416
165	479	2408
166	482	2406
167	484	2399
168	486	2391
169	487	2381
170	489	2370
171	490	2360
172	491	2350
173	492	2339
174	499	2355
175	501	2349
176	503	2342
177	507	2341
178	522	2395
179	527	2403
180	533	2411
181	535	2404
182	536	2395
183	538	2386
184	541	2387
185	543	2379
186	545	2371
187	546	2361
188	548	2352
189	549	2342
190	550	2332
191	551	2322
192	553	2313
193	556	2311
194	558	2304
195	560	2298
196	561	2289
197	562	2280
198	564	2270
199	565	2261
200	566	2252
201	567	2243
202	571	2245
203	574	2241
204	576	2234
205	578	2228
206	580	2223
207	582	2218
208	588	2228
209	590	2222
210	592	2214
211	593	2206
212	596	2203
213	598	2196
214	600	2193
215	603	2189
216	605	2183
217	606	2177
218	608	2170
219	610	2162
220	611	2155
221	615	2157
222	617	2151
223	619	2145
224	620	2138
225	622	2131
