iter	Passed	Remaining
0	2	205
1	3	190
2	5	182
3	7	177
4	9	175
5	11	172
6	11	158
7	12	147
8	13	138
9	14	130
10	15	124
11	16	119
12	17	115
13	18	111
14	18	107
15	19	104
16	20	101
17	21	98
18	22	96
19	23	93
20	24	91
21	25	89
22	26	87
23	27	85
24	27	83
25	28	81
26	29	80
27	30	78
28	31	76
29	32	75
30	33	73
31	34	72
32	34	70
33	35	69
34	36	68
35	37	66
36	38	65
37	39	64
38	40	62
39	41	61
40	41	60
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	66	30
69	67	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
